platform,listing_id,canonical_sku,brand,seller_id,captured_at,list_price,sale_price,currency,shipping_fee,rating_avg,review_count,sold_count_window,sales_rank,active_flag,seller_type,fulfillment_type
Amazon,B0GEN2200,B0GEN2200,VoltEdge,VoltEdge Official,2025-11-30,0,629.00,USD,0,4.7,272,95,0,true,brand_owner,FBA
Amazon,B0GEN3000,B0GEN3000,NorthPeak,NorthPeak Store,2025-11-30,0,839.00,USD,0,4.8,250,88,0,true,brand_owner,FBA
Amazon,B0GEN2100,B0GEN2100,StormSafe,StormSafe Direct,2025-11-30,0,649.00,USD,0,4.6,171,70,0,true,brand_owner,FBA
eBay,EB-GEN2000,EB-GEN2000,VoltEdge,PowerGear Outlet,2025-10-12,629.00,565.00,USD,20.00,0,0,13,0,false,reseller,merchant_fulfilled
eBay,EB-GEN2000,EB-GEN2000,VoltEdge,PowerGear Outlet,2025-11-10,629.00,555.00,USD,20.00,0,0,16,0,false,reseller,merchant_fulfilled
eBay,EB-GEN2300,EB-GEN2300,NorthPeak,GeneratorDeals,2025-10-18,679.00,609.00,USD,20.00,0,0,7,0,false,reseller,merchant_fulfilled
eBay,EB-GEN2300,EB-GEN2300,NorthPeak,GeneratorDeals,2025-11-21,679.00,599.00,USD,20.00,0,0,5,0,false,reseller,merchant_fulfilled
TikTok Shop,TT-GEN1800,TT-GEN1800,EverTrail Deals,ET-TT-1,2025-11-30,498.89,449.00,USD,0,4.1,72,18,0,true,brand_owner,seller_fulfilled
TikTok Shop,TT-GEN1700,TT-GEN1700,StormSafe Clearance,SS-TT-2,2025-11-30,458.62,399.00,USD,0,3.8,57,17,0,true,brand_owner,seller_fulfilled
TikTok Shop,TT-GEN2400,TT-GEN2400,TrailVolt Shop,TV-TT-3,2025-11-30,692.94,589.00,USD,0,4.5,94,23,0,true,brand_owner,seller_fulfilled
