platform,canonical_sku,review_id,review_date,rating,review_text
Amazon,GEN-2200-DUAL,R1,2025-09-20,5,quiet startup and reliable power output great value for storm prep
Amazon,GEN-2200-DUAL,R2,2025-10-21,5,easy setup solid build and portable enough for the garage
Amazon,GEN-2200-DUAL,R3,2025-11-16,4,good runtime but the packaging arrived with a damaged corner
eBay,GEN-2000-QUIET,R4,2025-09-22,4,quiet and compact generator fits my trailer well
eBay,GEN-2000-QUIET,R5,2025-10-26,2,late shipping and scratched panel not worth the price
eBay,GEN-2000-QUIET,R6,2025-11-18,4,solid value and easy start after first fuel fill
Amazon,GEN-2500-INVERTER,R7,2025-09-19,4,powerful output but louder than expected
Amazon,GEN-2500-INVERTER,R8,2025-10-29,2,failed after two weekends and return process was slow
Amazon,GEN-2500-INVERTER,R9,2025-11-24,3,good features but poor reliability and weak support
TikTok Shop,GEN-1800-BASIC,R10,2025-09-25,4,portable budget option and easy to use at camp
TikTok Shop,GEN-1800-BASIC,R11,2025-10-27,2,manual start is hard and the box was damaged
Amazon,GEN-3000-REMOTE,R12,2025-09-23,5,remote start is great durable wheels and strong value
Amazon,GEN-3000-REMOTE,R13,2025-10-24,5,excellent power very quiet and reliable for home backup
Amazon,GEN-3000-REMOTE,R14,2025-11-26,5,easy setup premium feel and smooth start every time
eBay,GEN-2300-QUIET,R15,2025-09-28,4,quiet operation but shipping was late
eBay,GEN-2300-QUIET,R16,2025-10-31,2,noisy under load and the panel feels cheap
eBay,GEN-2300-QUIET,R17,2025-11-22,2,fit and finish are poor and performance feels weak
Amazon,GEN-2100-CO,R18,2025-09-18,5,co sensor and easy start make this a reliable portable unit
Amazon,GEN-2100-CO,R19,2025-10-20,4,great value compact size and smooth runtime
TikTok Shop,GEN-1700-CAMP,R20,2025-11-12,2,cheap handle weak power and damaged packaging on arrival
