platform,sold_id,listing_id,canonical_sku,sold_at,transaction_price,shipping_fee,units,seller_type
Amazon,proxy-B0GEN2200,B0GEN2200,B0GEN2200,2025-11-30,629.00,0,95,brand_owner
Amazon,proxy-B0GEN3000,B0GEN3000,B0GEN3000,2025-11-30,839.00,0,88,brand_owner
Amazon,proxy-B0GEN2100,B0GEN2100,B0GEN2100,2025-11-30,649.00,0,70,brand_owner
eBay,EB-GEN2000-2025-10-12,EB-GEN2000,EB-GEN2000,2025-10-12,565.00,20.00,13,reseller
eBay,EB-GEN2000-2025-11-10,EB-GEN2000,EB-GEN2000,2025-11-10,555.00,20.00,16,reseller
eBay,EB-GEN2300-2025-10-18,EB-GEN2300,EB-GEN2300,2025-10-18,609.00,20.00,7,reseller
eBay,EB-GEN2300-2025-11-21,EB-GEN2300,EB-GEN2300,2025-11-21,599.00,20.00,5,reseller
TikTok Shop,proxy-TT-GEN1800,TT-GEN1800,TT-GEN1800,2025-11-30,449.00,0,18,brand_owner
TikTok Shop,proxy-TT-GEN1700,TT-GEN1700,TT-GEN1700,2025-11-30,399.00,0,17,brand_owner
TikTok Shop,proxy-TT-GEN2400,TT-GEN2400,TT-GEN2400,2025-11-30,589.00,0,23,brand_owner
