market_code,category_key,period,price_sensitivity,brand_loyalty,quality_premium_preference,novelty_seeking,social_proof_dependency,discount_dependency,delivery_speed_preference,return_aversion,cross_border_affinity,content_driven_discovery,payment_friction_tolerance,offline_affinity,evidence_bundle,updated_at,owner_role
EU,portable_generators,2026Q1,0.46,0.69,0.78,0.34,0.61,0.31,0.75,0.68,0.55,0.39,0.74,0.28,"{""platform_metrics"":""B"",""industry_reports"":""B"",""surveys"":""B""}",2026-03-15,market_research
JP,portable_generators,2026Q1,0.38,0.76,0.84,0.28,0.57,0.22,0.82,0.79,0.44,0.31,0.81,0.24,"{""platform_metrics"":""B"",""reviews"":""A"",""surveys"":""B""}",2026-03-15,market_research
KR,portable_generators,2026Q1,0.44,0.63,0.71,0.58,0.73,0.41,0.8,0.61,0.62,0.82,0.77,0.19,"{""social"":""A"",""platform_metrics"":""B"",""reviews"":""B""}",2026-03-15,market_research
TW,portable_generators,2026Q1,0.47,0.61,0.7,0.42,0.68,0.39,0.78,0.66,0.71,0.55,0.74,0.23,"{""platform_metrics"":""B"",""reviews"":""B"",""survey"":""B""}",2026-03-15,market_research
PH,portable_generators,2026Q1,0.82,0.24,0.36,0.55,0.74,0.79,0.62,0.43,0.77,0.83,0.42,0.57,"{""social"":""B"",""platform_metrics"":""C"",""survey"":""C""}",2026-03-15,market_research
VN,portable_generators,2026Q1,0.78,0.29,0.39,0.52,0.7,0.76,0.68,0.45,0.74,0.75,0.48,0.52,"{""platform_metrics"":""C"",""social"":""B"",""survey"":""C""}",2026-03-15,market_research
TH,portable_generators,2026Q1,0.69,0.34,0.45,0.6,0.71,0.67,0.7,0.48,0.72,0.77,0.55,0.44,"{""platform_metrics"":""B"",""social"":""B"",""survey"":""C""}",2026-03-15,market_research
KH,portable_generators,2026Q1,0.85,0.18,0.28,0.41,0.62,0.81,0.48,0.36,0.59,0.61,0.33,0.64,"{""social"":""C"",""survey"":""D""}",2026-03-15,market_research
LA,portable_generators,2026Q1,0.87,0.16,0.25,0.36,0.58,0.83,0.44,0.34,0.53,0.55,0.31,0.68,"{""survey"":""D"",""expert_panel"":""C""}",2026-03-15,market_research
ID,portable_generators,2026Q1,0.74,0.27,0.4,0.57,0.69,0.72,0.66,0.41,0.79,0.81,0.51,0.49,"{""platform_metrics"":""B"",""social"":""B"",""survey"":""C""}",2026-03-15,market_research
